Sample_ID,ACR_Class,ANXA5,AP1M1,C1GALT1C1,CLK1,EFTUD2,MAP1A,SENP6,SENP7,TSC22D1,SPCS3,ZMAT1,ETAA1,ZNF493,CCDC82,NFYB,F13A1,TUBB1,Set_Type,probability,numbers
R.2637.7,1,13.2062,11.625777,10.892783,13.412892,10.44352,6.674076,10.835388,11.347174,10.954184,11.529389,7.832505,8.769598,11.103532,10.142845,9.620495,11.416185,13.223448,0,0.338409158,85
R.483.13,0,14.323614,11.599907,11.552723,14.481269,10.424967,6.461493,10.479415,11.872015,10.465495,11.692447,7.711107,8.387492,11.421881,11.130772,9.57697,10.906278,12.481392,0,0.341272003,86
R.583.12,1,13.406423,12.567821,10.716357,13.09744,10.933605,6.566748,10.729567,11.870653,9.935032,12.106856,7.75078,8.704697,10.556282,10.055326,8.13526,10.711371,12.287987,0,0.347294596,87
R.535.12,0,13.476799,12.179749,10.111552,13.347681,10.860694,6.266693,10.258104,11.342015,10.159002,11.65382,7.734162,7.843573,10.879921,9.895968,8.037906,11.721354,12.177474,0,0.347594434,88
R.567.36,0,13.553309,11.582381,10.711174,14.264046,9.972714,4.702185,11.27204,11.955796,10.880103,11.449035,6.628184,8.380257,11.21946,11.203624,9.798109,11.763961,12.782203,0,0.349123533,89
R.712.6,0,13.622182,12.581419,10.304072,11.735171,11.342395,9.145392,9.803393,10.782847,10.29921,10.436084,7.520916,7.040474,9.909914,8.214798,7.504008,13.582149,14.745705,0,0.355967752,90
R.3757.18.20A1,1,14.313686,12.339518,10.813547,13.628132,11.361215,8.797235,10.25317,12.58023,10.633273,11.813052,8.779692,8.219939,10.612851,9.849404,8.536048,13.142419,14.327305,0,0.356586499,91
R.1937.6.20A1,0,13.711141,12.234873,10.653173,13.14554,11.328444,8.329973,10.499008,12.069481,10.804466,11.717143,8.654579,8.482213,10.739687,9.584534,9.266333,12.714893,14.39495,0,0.359509912,92
R.545.14,0,13.511954,11.680754,10.198423,13.111535,11.395158,7.269302,9.758303,11.181582,9.905107,10.897825,7.55734,7.163425,9.071993,9.604248,8.263285,12.644564,13.676163,0,0.367943787,93
R.558.8,0,12.634256,12.168837,10.777065,13.615569,10.817985,7.632675,10.844179,12.150724,10.524299,11.939976,8.174825,9.709678,11.248934,11.429142,10.342817,11.428231,13.151829,0,0.373043019,94
R.745.6.20A1,1,13.9043,11.803682,10.202342,12.470816,10.820909,8.380563,9.795552,10.879514,10.456608,10.743637,8.325666,6.40135,9.583682,8.609054,7.664437,12.231907,14.328061,0,0.389416322,95
R.677.3,0,12.881347,12.300175,10.580117,13.276894,10.312379,5.728462,10.538825,11.338484,9.632557,10.888441,6.509125,7.138658,10.450399,9.782101,8.22032,11.112555,12.538285,0,0.398385089,96
R.4277.15,0,14.031774,12.045363,11.2269,13.826246,10.960971,7.018891,10.76385,12.463676,11.238418,12.068135,8.018891,9.252688,11.16487,10.408662,8.656321,11.636869,13.59548,0,0.427991748,97
R.552.13.20A1,0,13.972886,12.227114,10.688814,12.565355,10.920466,7.685799,10.458138,11.09785,10.282874,11.308168,7.886938,8.056767,11.051367,9.325301,8.877795,11.786289,13.971104,0,0.447109944,98
R.1977.7,0,13.437112,11.910132,11.110419,13.851307,10.279957,8.17824,11.577654,11.560093,11.010232,11.172858,8.46663,9.522505,11.875528,10.879467,9.23443,11.742938,14.168101,0,0.453731914,99
R.484.21,0,13.247684,12.380358,9.877465,12.110532,10.503865,8.772459,10.446415,10.844609,10.005382,11.053534,6.466879,6.224023,10.01236,8.271328,7.361526,11.916115,13.474479,0,0.465331905,100
